Order,Family,Species,Occurrence,FishBase name,Name in Country,Size / Weight / Age,Short Description,Biology,Threat To Humans,IUCN Red List Status
Acanthuriformes,Acanthuridae,Acanthurus xanthopterus,native,Yellowfin surgeonfish,Cuvier's Surgeonfish,"Maturity: Lm ?  range ? - ? cm
Max length : 70.0 cm TL male/unsexed; (Ref. 4795); common length : 50.0 cm TL male/unsexed; (Ref. 30573)","Dorsal spines (total): 8 - 9; Dorsal soft rays (total): 25-27; Anal spines: 3; Anal soft rays: 23 - 25. Body purplish gray when alive; grayish brown when preserved; a region of dull yellow in front of eye, a lesser extension posterior to lower part of eye; outer 1/3 of pectoral fin yellow, extreme distal part hyaline; dorsal and anal fins yellowish grey basally, dull yellow distally; caudal fin base whitish; caudal fin purplish. Anterior gill rakers 16-24, posterior 17-22. Caudal spine small.","Live in various reef habitats, sand slopes and lagoons (Ref. 48637). Juveniles inhabit shallow, protected, turbid inshore waters while adults prefer deeper areas of protected bays and lagoons. Also in outer reef areas (Ref. 1602). Benthopelagic (Ref. 58302). Schooling species, feed on diatoms, detritus film of sand, filamentous algae, hydroids, and pieces of fish (Ref. 1602, 48637). Probably the only surgeonfish that readily takes bait (Ref. 12484).",  Venomous (Ref. 4716),  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Ctenochaetus striatus,native,Striated surgeonfish,,"Maturity: Lm ?, range 10 - ? cm
Max length : 26.0 cm TL male/unsexed; (Ref. 2334); common length : 18.0 cm TL male/unsexed; (Ref. 3146); max. published weight: 437.00 g (Ref. 125599); max. reported age: 36 years (Ref. 52229)","Dorsal spines (total): 8; Dorsal soft rays (total): 27-31; Anal spines: 3; Anal soft rays: 24 - 28. This species is distinguished by the following characters: body deep and compressed, its depth 1.9-2.3 times in standard length or SL; mouth small, teeth numerous (> 30 in jaws of adults), movable, slender and elongate, with expanded incurved tips which are denticulate on the lateral margin (6 denticulations on upper and 4 on lower teeth); total gill rakers on first gill arch 27-36; a continuous unnotched dorsal fin with VIII,27-31; AIII,24-28; caudal fin lunate, concavity 3.7-6 times in SL; a lancet-like spine on caudal peduncle which folds into a deep horizontal groove; colour dark olive to yellowish brown with blue or blue-grey lengthwise lines on body and small orange spots on head and nape; dorsal and anal fins with about 5 lengthwise dark bluish bands; pectoral fins pale with brownish yellow rays; a small blackish spot at rear base of dorsal fin of juveniles and small adults (Ref. 9808).","Inhabits reef flats and lagoon and seaward reefs to a depth of over 30 m. Occurs over coral (Ref. 58534), rock, pavement, or rubble substrates. May occur singly or in small to very large, often mixed-species aggregations (Ref. 48637). Feeds on surface film of blue-green algae and diatoms (making this species a key link in the ciguatera food chain) as well as on various small invertebrates.",  Reports of ciguatera poisoning (Ref. 9513),  Least Concern (LC) ; Date assessed: 07 May 2010
Acanthuriformes,Acanthuridae,Ctenochaetus truncatus,native,Indian gold-ring bristle-tooth,,"Maturity: Lm ?  range ? - ? cm
Max length : 16.0 cm SL male/unsexed; (Ref. 48637)",Dorsal spines (total): 8; Dorsal soft rays (total): 25-27; Anal spines: 3; Anal soft rays: 23 - 25. Body with numerous very small blue to yellow spots in life. Caudal concavity at most 16.5 in SL (Ref 42056).,"Inhabits sheltered inner reef crests and slopes. Usually among large corals or in gutters, singly or in small groups (Ref. 48637).",  Harmless,  Least Concern (LC) ; Date assessed: 07 May 2010
Acanthuriformes,Acanthuridae,Naso brachycentron,native,Humpback unicornfish,Komban-karukkan,"Maturity: Lm ?  range ? - ? cm
Max length : 90.0 cm FL male/unsexed; (Ref. 1602)","Dorsal spines (total): 4 - 5; Dorsal soft rays (total): 28-30; Anal spines: 2; Anal soft rays: 27 - 28. Distinctive humped back; horn only in adult males. A few scattered small dark-edged pale spots on postorbital head and body above pectoral fins. No white margin posteriorly on caudal fin. Profile of snout from mouth to eye strongly sloping, forming an angle of about 40° to horizontal axis of body (Ref 9808).","Inhabits deep coastal, usually in small groups but occasionally in large schools (Ref. 48637). Sometimes solitary (Ref. 90102). An uncommon species found in seaward reef slopes (Ref. 9710, 48637), also along rocky shores (Ref. 30573). Feeds on benthic algae (Ref. 30573). Caught with nets (Ref. 30573).",  Harmless,  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Naso brevirostris,native,Spotted unicornfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 60.0 cm TL male/unsexed; (Ref. 9808)","Dorsal spines (total): 6; Dorsal soft rays (total): 27-29; Anal spines: 2; Anal soft rays: 27 - 30. This species is distinguished by the following characters: body moderately deep and compressed, its depth 2.6 to 3 times in standard length (SL) (reported greatest depth of body in subadults at 2.3 in SL, Ref. 90102); dorsal profile of body uniformly convex; adults with a median, broad-based, tapering, horn-like projection extending directly anteriorly from snout at level of lower part of eye to more than 1/2 head length in front of mouth (first developing as a bump on forehead of young of about 10 cm SL; dorsal profile of snout from upper lip to base of horn very short, curved, and nearly vertical; mouth small; teeth small, spatulate, with denticulate edges, about 50 in each jaw; a continuous unnotched D VI,27-29; A II,27-30; pectoral-fin rays 15-17; pelvic fins I,3; caudal fin slightly rounded, without a filament from each corner; 2 bony plates on each side of caudal peduncle, developing moderate keels with age; colour of body olivaceous grey-brown to light grey, usually with vertical dark brown lines on body which break into small spots dorsally and ventrally; some individuals only with small dark spots; head with small dark brown spots or short irregular lines which become long and oblique on horn (dark markings on one pale phase may be faint or absent; in another phase the anterior third of the body may be distinctly paler than the rest); caudal fin whitish with a large diffuse dark blotch centrobasally in fin (Ref. 9808).","Inhabit mid-waters along steep outer lagoon and seaward reef drop-offs. Also found along rocky shores (Ref. 30573, 48637). Benthopelagic (Ref. 58302). Usually in small groups but form large schools in oceanic locations or on reefs subject to strong currents (Ref. 48637). Juveniles and subadults feed on benthic algae; adults feed on zooplankton. Pair spawning has been observed. Caught with nets (Ref. 30573).",  Reports of ciguatera poisoning (Ref. 30298),  Least Concern (LC) ; Date assessed: 04 May 2010
Acanthuriformes,Acanthuridae,Naso elegans,native,Elegant unicornfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 45.0 cm SL male/unsexed; (Ref. 37792); common length : 35.0 cm TL male/unsexed; (Ref. 30573)",Dorsal spines (total): 6; Dorsal soft rays (total): 26-30; Anal spines: 2; Anal soft rays: 27 - 30. Dorsal fin yellow with a blue line at base and a black band above this; anal and pelvic fins dark brown; dorsal and anal fins with a narrow blue margin and black submarginal line; caudal fin yellowish with black upper and lower margins and a submarginal black band posteriorly (Ref. 37792). Caudal fin emarginate with adult males having trailing filaments from each corner (Ref. 37792).,Inhabits coastal and sheltered reef flats in small groups and schools in oceanic locations (Ref. 48637). Also found in rocky bottoms in about 5-30 m (Ref. 90102). Feeds on benthic algae (Ref. 37792).,  Harmless,  Least Concern (LC) ; Date assessed: 06 May 2010
Acanthuriformes,Acanthuridae,Naso tonganus,native,Bulbnose unicornfish,,"Maturity: Lm ?  range ? - ? cm
Max length : 60.0 cm SL male/unsexed; (Ref. 37792)",Dorsal spines (total): 5; Dorsal soft rays (total): 27-30; Anal spines: 2; Anal soft rays: 26 - 28.,Inhabits coral reefs (Ref. 37792). Feeds on leafy or fleshy algae and zooplankton (Ref. 37792). Found singly or in small groups (Ref. 37792).,  Harmless,  Least Concern (LC) ; Date assessed: 06 May 2010
Acanthuriformes,Acanthuridae,Naso tuberosus,native,Humpnose unicornfish,Fullikkarukkan,"Maturity: Lm 35.0  range ? - ? cm
Max length : 60.0 cm SL male/unsexed; (Ref. 37792)","Dorsal spines (total): 5; Dorsal soft rays (total): 26-29; Anal spines: 2; Anal soft rays: 26 - 28. Small blackish spots usually present, at least dorsoanteriorly on body. Adults with a large bulbous protuberance at front of snout (Ref 9808).","Occurs in coral reefs. Diet consisted a high proportion of the green alga, Caulerpa.",  Harmless,  Data deficient (DD) ; Date assessed: 06 May 2010
Acanthuriformes,Acanthuridae,Naso unicornis,native,Bluespine unicornfish,Ammas,"Maturity: Lm ?  range ? - ? cm
Max length : 70.0 cm FL male/unsexed; (Ref. 9710); common length : 50.0 cm TL male/unsexed; (Ref. 3146); max. reported age: 55 years (Ref. 118238)","Dorsal spines (total): 6; Dorsal soft rays (total): 27-30; Anal spines: 2; Anal soft rays: 27 - 30. This species is characterized by the following: body depth vary from about 2.0 in SL (in subadults) to 2.4-2.6 (adults) in SL; with a tapering, bony, horn on forehead of adults projecting anteriorly at level of eye but not extending in front of mouth (horn first as a bump on forehead at a length of about 12 cm); dorsal profile from snout to horn straight, angle of about 45°; 2 peduncular plates with well-developed forward-curving knife-like spines; emarginate caudal fin when young, truncate with filamentous lobes in adult; males apparently with longer horn, larger peduncular keels and longer caudal filaments than females of the same size; body yellowish to olivaceous gray dorsally, paler ventrally, with blue peduncular plates and keel spines; lips whitish or blue; blue area is sometimes present around pectoral fin; dorsal and anal fins yellowish with narrow blue margins; caudal fin orangish basally, shading to gray, with a broad, pale greenish posterior border and caudal filaments are edged in blue; one transient color phase is a blotchy pale greenish zone below the spinous portion of dorsal fin that narrows and ends beneath the pectoral fin (Ref. 27362).","Adults inhabit channels, moats, lagoon and seaward reefs with strong surge (Ref. 48637). Benthopelagic (Ref. 58302). Typically occurring in small groups. Sometimes solitary (Ref. 90102). Juveniles in shallow protected bays and harbours (Ref. 48637). Mainly diurnal, feed on coarse leafy brown algae like Sargassum. Pair-spawning has been observed.",  Reports of ciguatera poisoning (Ref. 4795),  Least Concern (LC) ; Date assessed: 07 May 2010
Acanthuriformes,Acanthuridae,Naso vlamingii,native,Bignose unicornfish,Ammas,"Maturity: Lm ?  range ? - ? cm
Max length : 60.0 cm TL male/unsexed; (Ref. 3145)",Dorsal spines (total): 6; Dorsal soft rays (total): 26-27; Anal spines: 3; Anal soft rays: 27 - 29. Adults develop a convexly rounded prominent snout and unusually tall dorsal and anal fins. Side of body with vertical blue lines which break up into small blue spots dorsally and ventrally. A broad blue band extending from eye to front of rostral protuberance (Ref 9808).,Occurs in deep lagoon and seaward reefs. Found forming loose schools along upper regions of deep drop-offs (Ref. 48637). Forms mid-water aggregations off steep slopes during the day to feed on zooplankton. Usually found alone or in pairs. Omnivorous. Has the ability to show or hide its blue markings (Ref. 9710). Minimum depth reported taken from Ref. 27115.,  Harmless,  Least Concern (LC) ; Date assessed: 06 May 2010
Acanthuriformes,Acanthuridae,Paracanthurus hepatus,native,Palette surgeonfish,Chankatayan,"Maturity: Lm ?  range ? - ? cm
Max length : 31.0 cm TL male/unsexed; (Ref. 2334)",Dorsal spines (total): 9; Dorsal soft rays (total): 19-20; Anal spines: 3; Anal soft rays: 18 - 19.,"Occur in clear, current-swept terraces of seaward reefs. Observed in loose aggregations 1 or 2 meters above the bottom; juveniles and subadults typical in groups near isolated Pocillopora eydouxi coral heads and when alarmed hide themselves tightly among the branches (Ref. 9710). Benthopelagic (Ref. 58302). Feed on zooplankton and occasionally on algae (Ref. 9710, 48637, 27115, 83665). Relatively uncommon and highly localized (Ref. 1602, 9710). Very popular and hardy aquarium fish. Anterolateral glandular groove with venom gland (Ref. 57406).",  Venomous (Ref. 57406),  Least Concern (LC) ; Date assessed: 07 May 2010
Acanthuriformes,Acanthuridae,Zebrasoma xanthurum,native,Yellowtail tang,,"Maturity: Lm ?  range ? - ? cm
Max length : 36.7 cm TL male/unsexed; (Ref. 97602); common length : 10.0 cm TL male/unsexed; (Ref. 5450)",Often found in groups in coral-rich areas (Ref. 9710) or on rocky bottoms (Ref. 30573). It small and numerous pharyngeal teeth suggest a diet that consists mainly of filamentous algae (Ref. 33204). Occasionally caught by traps and trawls (Ref. 68964).,,,Not Evaluated
Acropomatiformes,Acropomatidae,Acropoma japonicum,native,Glowbelly,,"Maturity: Lm ?  range ? - ? cm
Max length : 20.0 cm TL male/unsexed; (Ref. 2710)","Dorsal spines (total): 9; Dorsal soft rays (total): 10; Anal spines: 3; Anal soft rays: 7. Body moderately elongate, compressed. Scales large, weakly ciliated and deciduous. Two luminous organs run longitudinally in the abdominal muscle from the thorax to slightly beyond the anus and join each other at the anterior extremities.",Inhabits sand and sandy mud bottoms (Ref. 11230). Marketed fresh or reduced to fishmeal.,  Harmless,  Not Evaluated 
Myliobatiformes,Aetobatidae,Aetobatus flagellum,native,Longheaded eagle ray,बोळादी,"Maturity: Lm ?  range ? - ? cm
Max length : 72.0 cm WD male/unsexed; (Ref. 4440); max. published weight: 13.9 kg (Ref. 40637)","This species is characterized by the following: dorsal without spots or rings; long rostral lobe (longest in adult males) and narrowly pointed; disc very broad and short, its length 55-70% WD; pectoral fins weakly falcate and joining head at eye level, separate from rostral lobe; posterior margins moderately concave, rear tips free and broadly rounded; spiracles large, dorsolateral and visible in dorsal view; mouth ventral, its width narrower than preoral length; nasal curtain large, deeply notched centrally and with a curtain-like fringe; teeth plate-like in a single row, the upper teeth transverse, lower chevron-shaped; disc entirely smooth, no denticles or thorns; tail elongate, whip-like, ca. 1.2-2.8 times WD when undamaged; dorsal-fin small and raked back, apex broadly rounded, free rear tip short with origin behind pelvic-fin insertions; caudal stings 1 or 2, longest greater than preoral length. Colour uniform brownish or greenish brown, mostly white ventrally, pectoral tips and posterior margins of disc mostly pale brownish (Ref. 114953).","Inhabits inshore waters (Ref. 9862). Probably feeds on hard-shelled and bottom-dwelling invertebrates (Ref. 114953). Often found in brackish waters (Ref. 4832). Ovoviviparous (Ref. 50449). Caught occasionally by bottom trawl and inshore demersal gillnet fisheries off Jakarta. Utilized for its meat, but of limited value due to its rarity and small size (Ref.58048).",  Harmless,  Endangered (EN) (A2d); Date assessed: 30 April 2020
Myliobatiformes,Aetobatidae,Aetobatus ocellatus,native,Ocellated eagle ray,,"Maturity: Lm 155.0, range 150 - 160 cm
Max length : 300 cm WD male/unsexed; (Ref. 114953); common length : 180 cm WD male/unsexed; (Ref. 6871); max. published weight: 200.0 kg (Ref. 89467)","This large species is distinguished by the following characters: dorsal surfaces with a dark greenish grey base coloration, variably white spotted, rarely ocellated; different NADH2 gene structure; relatively long tail with mean total length 281% DW, mean anterior cloaca to tail tip 230.2% DW; stinging spines relatively long with mean length of first spine 9.7%DW; teeth plates are in a single row, those in the lower jaw chevron-shaped; pectoral fin radials about 102-116, excluding proterygial radials anterior of eyes; 99-101 total vertebral centra, including synarcual (Ref. 84291).","Found in coastal waters (Ref. 45255), including estuarine habitats (Ref. 89467). Can grow over 3 m disc width and up to 880 cm total length if the long tail is undamaged (Ref. 30573). Feeds mainly on hard-shelled bottom-dwelling invertebrates such as hermit crabs, whelks, oysters, clams and large molluscs (Ref. 9862, 114953), crustraceans, worms, octopuses and fishes (Ref. 89467). Ovoviviparous (Ref. 50449). Size at maturity for males 100-130 cm WD, females ca. 150-160 cm WD and size at birth highly variable 18 cm to at least 50 cm WD. Females produce litters up to 10 pups, usually 4 or less (Ref. 114953). Common catch of the demersal tangle net, bottom trawl, inshore gillnet and, to a lesser extent, demersal longline fisheries. Utilized for its meat and cartilage (Ref. 58048). Tail used as a decorative item (Ref. 27550). Flesh edible (Ref. 30573).",  Traumatogenic (Ref. 4690),  Vulnerable (VU) (A2bd); Date assessed: 11 May 2015
Albuliformes,Albulidae,Albula oligolepis,native,Smallscale bonefish,,"Maturity: Lm ?  range ? - ? cm
Max length : 35.4 cm SL male/unsexed; (Ref. 74924)",,Spawning occurs in open waters. Eggs are pelagic (Ref. 205).,,Not Evaluated
